1,295,2506.6
2,806,3150.9
3,1366,3136.1
4,1901,3133
5,2404,3122.3
6,2887,3113.7
7,3312,3115.4
8,3709,3107.2
9,4109,3098.7
10,4468,3106.4
1,294,2613.3
2,805,3248.1
3,1366,3239.6
4,1900,3244.6
5,2405,3239.6
6,2885,3221.8
7,3310,3130.8
8,3711,3108.1
9,4108,3120.7
10,4470,3108.2
1,295,2536.3
2,805,3128.4
3,1366,3142.5
4,1901,3116.1
5,2404,3126.7
6,2887,3114.6
7,3311,3113.7
8,3708,3116.1
9,4104,3105.2
10,4478,3112.2
1,296,2520.2
2,805,3160.3
3,1366,3122.7
4,1900,3120.4
5,2405,3115.3
6,2885,3111.7
7,3310,3107.8
8,3713,3104.1
9,4110,3095.8
10,4476,3092.1
1,295,2539.3
2,805,3120.8
3,1367,3145.8
4,1900,3136
5,2405,3127.6
6,2885,3112.2
7,3308,3096
8,3711,3124.2
9,4108,3091
10,4471,3095.9
