1,586,1416.2
2,1702,1679.3
3,3072,1664.3
4,4470,1652.9
5,5668,1630.3
6,6732,1647.5
7,7656,1644.2
8,8432,1644
9,9063,1678.2
10,9591,1680.5
1,591,1452.2
2,1702,1719.1
3,3074,1697.3
4,4468,1697.8
5,5669,1672.3
6,6732,1666.9
7,7656,1661.5
8,8429,1656.5
9,9058,1653.5
10,9591,1657.4
1,587,1436.4
2,1701,1677.2
3,3072,1675
4,4470,1661.4
5,5668,1676.1
6,6730,1657.7
7,7655,1666.6
8,8423,1663.3
9,9067,1652.4
10,9591,1657.1
1,587,1420.9
2,1700,1675
3,3071,1675.2
4,4472,1655.6
5,5667,1682.1
6,6735,1651.3
7,7655,1663.2
8,8425,1649.4
9,9065,1654.3
10,9594,1647.5
1,591,1422.5
2,1701,1691.5
3,3072,1665.4
4,4470,1667.8
5,5673,1662.6
6,6732,1653.5
7,7652,1663.2
8,8423,1654.3
9,9062,1662.3
10,9591,1650.4
