1,1,4424.5
2,245,4066
3,650,3718.4
4,1116,3660.9
5,1576,3442.5
6,2125,3326.2
7,2648,3284.3
8,3121,3135.4
9,3560,3213.6
10,3997,3094.2
1,1,4313.7
2,245,4225
3,650,3873.6
4,1116,3597.6
5,1577,3462
6,2126,3276.6
7,2647,3149.2
8,3127,3071.9
9,3559,3125.5
10,3998,3001.4
1,1,4334.8
2,245,4088
3,650,3664.4
4,1117,3606.8
5,1576,3391.8
6,2126,3255.1
7,2649,3162.3
8,3128,3112.1
9,3561,3141.6
10,3997,3007.9
1,1,4349.5
2,245,4240.5
3,650,3820.6
4,1116,3625.4
5,1577,3420.8
6,2124,3253
7,2648,3150.4
8,3127,3111.4
9,3564,3147.4
10,4000,2998.7
1,1,4321.4
2,245,4181.5
3,650,3869.9
4,1116,3639.1
5,1577,3444.2
6,2124,3256.2
7,2646,3174.3
8,3124,3110.1
9,3564,3116.7
10,4003,2994.9
